0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,#,Sign gloss,Compound signs,Session,Scene,XML,MOV,Gloss start,Gloss end,Dominant handshape IDs,Non-dominant handshape IDs,Dominant handshape frames,Non-dominant handshape frames,uta Gloss start,uta Gloss end,uta no,uta hand annotation
0,1,15-fr,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^1.xml,mov/ASL_2008_08_04/scene1-camera1.mov,280,300,18^24,,280^300,,280,300,9526,0
0,2,14-fr,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^2.xml,mov/ASL_2008_08_04/scene1-camera1.mov,465,485,20^37,,465^485,,465,485,9527,0
0,3,13-fr,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^3.xml,mov/ASL_2008_08_04/scene1-camera1.mov,685,702,75^75,,685^702,,686,703,9528,0
0,4,12-fr,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^4.xml,mov/ASL_2008_08_04/scene1-camera1.mov,912,945,82^77,,912^945,,913,946,9529,0
0,5,11-fr,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^5.xml,mov/ASL_2008_08_04/scene1-camera1.mov,1157,1183,82^1,,1157^1183,,1158,1184,9530,0
0,6,100_1_to_c_hs-fr,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^6.xml,mov/ASL_2008_08_04/scene1-camera1.mov,1376,1390,1^30,,1376^1390,,1377,1390,9531,0
0,7,10,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^7.xml,mov/ASL_2008_08_04/scene1-camera1.mov,1607,1621,12^12,,1607^1620,,1607,1621,9532,0
0,8,4,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^8.xml,mov/ASL_2008_08_04/scene1-camera1.mov,1843,1860,3^3,,1843^1860,,1844,1860,9533,0
0,9,3,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^9.xml,mov/ASL_2008_08_04/scene1-camera1.mov,2057,2078,2^2,,2057^2077,,2058,2078,9534,0
0,10,20,,2008_08_04,1,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-001/Utterance^10.xml,mov/ASL_2008_08_04/scene1-camera1.mov,2282,2353,53^21,,2282^2353,,2283,2354,9535,0
0,11,19_b,,2008_08_04,2,../apr_09_2010/D_SignStreamDatabases/SignStreamDatabases/06.17.2009/SignStreamDatabases(without^compounds)/SignStreamDatabases/2008_08_04-002/Utterance^1.xml,mov/ASL_2008_08_04/scene2-camera1.mov,420,441,11^11,,420^440,,420,441,9536,0
